,"from","to","Pharma R&D  Annual Review 2017"
0,"Cancer",608410,
1,"Cancer",602626,
2,"Cancer",600616,
3,"Cancer",601805,
4,"Cancer",611428,
5,"Cancer",600283,
6,"Cancer",800457,
7,"Cancer",603940,
8,"Cancer",604398,
9,"Cancer",802775,
10,"Cancer",805697,
11,"Cancer",601622,
12,"Cancer",600334,
13,"Cancer",608879,
14,"Cancer",800913,
15,"Cancer",603425,
16,"Cancer",606054,
17,"Cancer",609631,
18,"Cancer",606842,
19,"Cancer",608019,
20,"Cancer",610088,
21,"Cancer",611361,
22,"Cancer",805657,
23,"Cancer",602881,
24,"Cancer",800596,
25,"Cancer",608111,
26,"Cancer",602298,
27,"Cancer",605143,
28,"Cancer",804420,
29,"Cancer",804018,
30,"Cancer",609479,
31,"Cancer",612073,
32,"Cancer",606868,
33,"Cancer",611633,
34,"Cancer",604778,
35,"Cancer",604735,
36,"Cancer",805195,
37,"Cancer",603468,
38,"Cancer",607375,
39,"Cancer",802512,
40,"Cancer",607763,
41,"Cancer",603862,
42,"Cancer",607412,
43,"Cancer",611705,
44,"Cancer",606610,
45,"Cancer",610110,
46,"Cancer",611584,
47,"Cancer",803555,
48,"Cancer",605047,
49,"Cancer",602452,
50,"Cancer",600660,
51,"Cancer",602027,
52,"Cancer",606736,
53,"Cancer",612223,
54,"Cancer",604173,
55,"Cancer",805379,
56,"Cancer",602754,
57,"Cancer",611619,
58,"Cancer",602420,
59,"Cancer",801720,
60,"Cancer",606139,
61,"Cancer",610626,
62,"Cancer",608104,
63,"Cancer",603922,
64,"Cancer",601866,
65,"Cancer",804996,
66,"Cancer",605248,
67,"Cancer",603796,
68,"Cancer",607230,
69,"Cancer",608364,
70,"Cancer",800643,
71,"Cancer",609120,
72,"Cancer",610381,
73,"Cancer",604980,
74,"Cancer",805339,
75,"Cancer",612301,
76,"Cancer",800899,
77,"Cancer",804708,
78,"Cancer",803937,
79,"Cancer",610551,
80,"Cancer",801154,
81,"Cancer",600991,
82,"Cancer",609762,
83,"Cancer",601953,
84,"Cancer",803535,
85,"Cancer",611590,
86,"Cancer",601725,
87,"Cancer",608528,
88,"Cancer",601517,
89,"Cancer",605198,
90,"Cancer",604845,
91,"Cancer",611504,
92,"Cancer",611512,
93,"Cancer",601122,
94,"Cancer",801827,
95,"Cancer",802919,
96,"Cancer",804761,
97,"Cancer",804322,
98,"Cancer",601408,
99,"Cancer",607769,
100,"Cancer",607464,
101,"Cancer",607232,
102,"Cancer",610028,
103,"Cancer",603602,
104,"Cancer",606768,
105,"Cancer",607983,
106,"Cancer",610224,
107,"Cancer",804782,
108,"Cancer",600571,
109,"Cancer",803745,
110,"Cancer",606607,
111,"Cancer",803829,
112,"Cancer",800306,
113,"Cancer",603924,
114,"Cancer",606999,
115,"Cancer",607275,
116,"Cancer",607623,
117,"Cancer",604051,
118,"Cancer",605909,
119,"Cancer",612394,
120,"Cancer",602749,
121,"Cancer",611476,
122,"Cancer",606120,
123,"Cancer",607347,
124,"Cancer",609717,
125,"Cancer",603749,
126,"Cancer",602316,
127,"Cancer",609981,
128,"Cancer",805709,
129,"Cancer",601962,
130,"Cancer",601404,
131,"Cancer",610650,
132,"Cancer",603031,
133,"Cancer",605491,
134,"Cancer",607816,
135,"Cancer",609373,
136,"Cancer",601391,
137,"Cancer",609729,
138,"Cancer",608500,
139,"Cancer",610252,
140,"Cancer",800742,
141,"Cancer",600263,
142,"Cancer",605263,
143,"Cancer",611424,
144,"Cancer",800170,
145,"Cancer",606062,
146,"Cancer",800560,
147,"Cancer",603697,
148,"Cancer",600756,
149,"Cancer",606494,
150,"Cancer",611521,
151,"Cancer",604625,
152,"Cancer",600758,
153,"Cancer",609551,
154,"Cancer",607177,
155,"Cancer",802513,
156,"Cancer",605105,
157,"Cancer",610846,
158,"Cancer",604954,
159,"Cancer",609191,
160,"Cancer",801878,
161,"Cancer",609219,
162,"Cancer",606648,
163,"Cancer",804500,
164,"Cancer",601907,
165,"Cancer",604019,
166,"Cancer",602174,
167,"Cancer",603650,
168,"Cancer",611769,
169,"Cancer",601305,
170,"Cancer",602159,
171,"Cancer",601389,
172,"Cancer",805321,
173,"Cancer",606710,
174,"Cancer",604861,
175,"Cancer",610413,
176,"Cancer",803797,
177,"Cancer",612029,
178,"Cancer",803588,
179,"Cancer",600062,
180,"Cancer",611671,
181,"Cancer",600308,
182,"Cancer",607687,
183,"Cancer",804942,
184,"Cancer",801825,
185,"Cancer",612058,
186,"Cancer",602642,
187,"Cancer",803109,
188,"Cancer",800847,
189,"Cancer",602099,
190,"Cancer",607693,
191,"Cancer",611379,
192,"Cancer",602839,
193,"Cancer",610659,
194,"Cancer",607134,
195,"Cancer",611663,
196,"Cancer",803550,
197,"Cancer",606131,
198,"Cancer",600407,
199,"Cancer",609492,
200,"Cancer",612180,
201,"Cancer",604999,
202,"Cancer",805873,
203,"Cancer",600228,
204,"Cancer",600084,
205,"Cancer",801280,
206,"Cancer",606559,
207,"Cancer",602889,
208,"Cancer",611296,
209,"Cancer",601952,
210,"Cancer",609866,
211,"Cancer",611891,
212,"Cancer",608962,
213,"Cancer",805396,
214,"Cancer",611370,
215,"Cancer",600947,
216,"Cancer",600310,
217,"Cancer",800839,
218,"Cancer",602880,
219,"Cancer",607271,
220,"Cancer",601862,
221,"Cancer",611528,
222,"Cancer",603341,
223,"Cancer",604864,
224,"Cancer",607328,
225,"Cancer",609870,
226,"Cancer",606048,
227,"Cancer",612279,
228,"Cancer",607246,
229,"Cancer",605889,
230,"Cancer",606143,
231,"Cancer",611616,
232,"Cancer",603925,
233,"Cancer",609980,
234,"Cancer",610328,
235,"Cancer",600419,
236,"Cancer",607628,
237,"Cancer",611652,
238,"Cancer",605336,
239,"Cancer",602789,
240,"Cancer",611678,
241,"Cancer",611895,
242,"Cancer",601258,
243,"Cancer",600735,
244,"Cancer",610072,
245,"Cancer",605546,
246,"Cancer",611613,
247,"Cancer",601688,
248,"Cancer",608646,
249,"Cancer",601388,
250,"Cancer",601344,
251,"Cancer",602313,
252,"Cancer",801534,
253,"Cancer",608285,
254,"Cancer",602315,
255,"Cancer",608110,
256,"Cancer",612208,
257,"Cancer",610477,
258,"Cancer",601314,
259,"Cancer",602255,
260,"Cancer",606279,
261,"Cancer",607324,
262,"Cancer",611440,
263,"Cancer",601637,
264,"Cancer",803351,
265,"Cancer",603608,
266,"Cancer",602848,
267,"Cancer",605837,
268,"Cancer",805150,
269,"Cancer",612098,
270,"Cancer",606825,
