,"from","to","Pharma R&D  Annual Review 2017"
11279,"Breasttumor",611541,1
11280,"Breasttumor",606511,1
11281,"Breasttumor",607171,1
11282,"Breasttumor",609153,1
11283,"Breasttumor",611085,1
11284,"Breasttumor",803680,1
11285,"Breasttumor",611638,1
11286,"Breasttumor",604491,1
11287,"Breasttumor",605927,1
11288,"Breasttumor",603767,1
11289,"Breasttumor",606623,1
11290,"Breasttumor",608360,1
11291,"Breasttumor",603940,1
11292,"Breasttumor",607224,1
11293,"Breasttumor",604309,1
11294,"Breasttumor",802295,1
11295,"Breasttumor",610840,1
11296,"Breasttumor",608879,1
11297,"Breasttumor",605229,1
11298,"Breasttumor",609631,1
11299,"Breasttumor",603425,1
11300,"Breasttumor",604320,1
11301,"Breasttumor",610338,1
11302,"Breasttumor",610514,1
11303,"Breasttumor",606842,1
11304,"Breasttumor",608019,1
11305,"Breasttumor",611621,1
11306,"Breasttumor",801432,1
11307,"Breasttumor",608045,1
11308,"Breasttumor",609479,1
11309,"Breasttumor",608111,1
11310,"Breasttumor",601674,1
11311,"Breasttumor",603931,1
11312,"Breasttumor",608327,1
11313,"Breasttumor",601954,1
11314,"Breasttumor",602052,1
11315,"Breasttumor",611061,1
11316,"Breasttumor",606868,1
11317,"Breasttumor",611633,1
11318,"Breasttumor",612322,1
11319,"Breasttumor",604778,1
11320,"Breasttumor",604836,1
11321,"Breasttumor",604735,1
11322,"Breasttumor",609132,1
11323,"Breasttumor",609995,1
11324,"Breasttumor",611258,1
11325,"Breasttumor",603252,1
11326,"Breasttumor",800301,1
11327,"Breasttumor",607763,1
11328,"Breasttumor",607299,1
11329,"Breasttumor",611173,1
11330,"Breasttumor",611645,1
11331,"Breasttumor",600342,1
11332,"Breasttumor",611584,1
11333,"Breasttumor",600660,1
11334,"Breasttumor",605258,1
11335,"Breasttumor",612128,1
11336,"Breasttumor",608235,1
11337,"Breasttumor",601405,1
11338,"Breasttumor",605649,1
11339,"Breasttumor",602754,1
11340,"Breasttumor",608827,1
11341,"Breasttumor",611704,1
11342,"Breasttumor",600078,1
11343,"Breasttumor",606154,1
11344,"Breasttumor",606656,1
11345,"Breasttumor",600259,1
11346,"Breasttumor",609062,1
11347,"Breasttumor",804877,1
11348,"Breasttumor",600816,1
11349,"Breasttumor",805339,1
11350,"Breasttumor",609120,1
11351,"Breasttumor",601394,1
11352,"Breasttumor",607312,1
11353,"Breasttumor",608470,1
11354,"Breasttumor",603491,1
11355,"Breasttumor",607365,1
11356,"Breasttumor",604428,1
11357,"Breasttumor",606034,1
11358,"Breasttumor",604472,1
11359,"Breasttumor",611448,1
11360,"Breasttumor",601888,1
11361,"Breasttumor",602646,1
11362,"Breasttumor",601103,1
11363,"Breasttumor",601697,1
11364,"Breasttumor",609493,1
11365,"Breasttumor",600913,1
11366,"Breasttumor",605636,1
11367,"Breasttumor",610826,1
11368,"Breasttumor",800835,1
11369,"Breasttumor",609033,1
11370,"Breasttumor",601408,1
11371,"Breasttumor",607464,1
11372,"Breasttumor",800289,1
11373,"Breasttumor",601999,1
11374,"Breasttumor",606202,1
11375,"Breasttumor",603433,1
11376,"Breasttumor",804782,1
11377,"Breasttumor",607277,1
11378,"Breasttumor",600571,1
11379,"Breasttumor",605423,1
11380,"Breasttumor",804291,1
11381,"Breasttumor",600585,1
11382,"Breasttumor",604544,1
11383,"Breasttumor",607786,1
11384,"Breasttumor",609487,1
11385,"Breasttumor",611643,1
11386,"Breasttumor",610466,1
11387,"Breasttumor",603924,1
11388,"Breasttumor",608038,1
11389,"Breasttumor",607623,1
11390,"Breasttumor",612259,1
11391,"Breasttumor",611265,1
11392,"Breasttumor",803998,1
11393,"Breasttumor",611476,1
11394,"Breasttumor",604965,1
11395,"Breasttumor",606120,1
11396,"Breasttumor",604947,1
11397,"Breasttumor",601504,1
11398,"Breasttumor",607347,1
11399,"Breasttumor",609717,1
11400,"Breasttumor",605308,1
11401,"Breasttumor",609981,1
11402,"Breasttumor",611706,1
11403,"Breasttumor",800735,1
11404,"Breasttumor",601962,1
11405,"Breasttumor",801443,1
11406,"Breasttumor",606482,1
11407,"Breasttumor",607249,1
11408,"Breasttumor",611532,1
11409,"Breasttumor",804663,1
11410,"Breasttumor",802625,1
11411,"Breasttumor",610782,1
11412,"Breasttumor",607816,1
11413,"Breasttumor",605890,1
11414,"Breasttumor",601391,1
11415,"Breasttumor",608317,1
11416,"Breasttumor",608500,1
11417,"Breasttumor",605263,1
11418,"Breasttumor",601109,1
11419,"Breasttumor",602357,1
11420,"Breasttumor",609475,1
11421,"Breasttumor",608168,1
11422,"Breasttumor",605129,1
11423,"Breasttumor",611521,1
11424,"Breasttumor",604625,1
11425,"Breasttumor",802513,1
11426,"Breasttumor",606892,1
11427,"Breasttumor",804148,1
11428,"Breasttumor",605105,1
11429,"Breasttumor",608666,1
11430,"Breasttumor",800006,1
11431,"Breasttumor",603530,1
11432,"Breasttumor",601915,1
11433,"Breasttumor",610846,1
11434,"Breasttumor",608995,1
11435,"Breasttumor",612393,1
11436,"Breasttumor",610869,1
11437,"Breasttumor",610955,1
11438,"Breasttumor",609297,1
11439,"Breasttumor",603158,1
11440,"Breasttumor",611767,1
11441,"Breasttumor",602486,1
11442,"Breasttumor",605627,1
11443,"Breasttumor",607289,1
11444,"Breasttumor",611769,1
11445,"Breasttumor",801588,1
11446,"Breasttumor",605910,1
11447,"Breasttumor",805321,1
11448,"Breasttumor",600061,1
11449,"Breasttumor",602556,1
11450,"Breasttumor",604448,1
11451,"Breasttumor",605266,1
11452,"Breasttumor",611489,1
11453,"Breasttumor",607990,1
11454,"Breasttumor",611585,1
11455,"Breasttumor",601411,1
11456,"Breasttumor",604329,1
11457,"Breasttumor",610126,1
11458,"Breasttumor",600062,1
11459,"Breasttumor",608474,1
11460,"Breasttumor",600007,1
11461,"Breasttumor",606899,1
11462,"Breasttumor",612220,1
11463,"Breasttumor",606741,1
11464,"Breasttumor",608016,1
11465,"Breasttumor",611218,1
11466,"Breasttumor",805008,1
11467,"Breasttumor",602065,1
11468,"Breasttumor",608236,1
11469,"Breasttumor",602839,1
11470,"Breasttumor",601189,1
11471,"Breasttumor",609102,1
11472,"Breasttumor",609872,1
11473,"Breasttumor",610713,1
11474,"Breasttumor",805608,1
11475,"Breasttumor",606606,1
11476,"Breasttumor",611663,1
11477,"Breasttumor",601414,1
11478,"Breasttumor",610482,1
11479,"Breasttumor",606131,1
11480,"Breasttumor",604235,1
11481,"Breasttumor",600313,1
11482,"Breasttumor",609298,1
11483,"Breasttumor",610426,1
11484,"Breasttumor",610960,1
11485,"Breasttumor",608241,1
11486,"Breasttumor",608480,1
11487,"Breasttumor",600947,1
11488,"Breasttumor",603707,1
11489,"Breasttumor",605702,1
11490,"Breasttumor",601361,1
11491,"Breasttumor",607717,1
11492,"Breasttumor",611558,1
11493,"Breasttumor",611528,1
11494,"Breasttumor",604623,1
11495,"Breasttumor",800858,1
11496,"Breasttumor",600371,1
11497,"Breasttumor",603341,1
11498,"Breasttumor",604330,1
11499,"Breasttumor",607328,1
11500,"Breasttumor",607719,1
11501,"Breasttumor",604700,1
11502,"Breasttumor",608251,1
11503,"Breasttumor",600037,1
11504,"Breasttumor",803898,1
11505,"Breasttumor",611408,1
11506,"Breasttumor",605963,1
11507,"Breasttumor",609602,1
11508,"Breasttumor",606734,1
11509,"Breasttumor",803422,1
11510,"Breasttumor",804534,1
11511,"Breasttumor",609595,1
11512,"Breasttumor",801015,1
11513,"Breasttumor",802578,1
11514,"Breasttumor",611010,1
11515,"Breasttumor",611763,1
11516,"Breasttumor",603925,1
11517,"Breasttumor",603476,1
11518,"Breasttumor",607255,1
11519,"Breasttumor",610328,1
11520,"Breasttumor",600419,1
11521,"Breasttumor",603223,1
11522,"Breasttumor",604182,1
11523,"Breasttumor",605336,1
11524,"Breasttumor",602789,1
11525,"Breasttumor",606428,1
11526,"Breasttumor",606453,1
11527,"Breasttumor",606624,1
11528,"Breasttumor",600099,1
11529,"Breasttumor",603705,1
11530,"Breasttumor",608585,1
11531,"Breasttumor",602102,1
11532,"Breasttumor",606532,1
11533,"Breasttumor",605440,1
11534,"Breasttumor",609232,1
11535,"Breasttumor",601546,1
11536,"Breasttumor",601688,1
11537,"Breasttumor",610195,1
11538,"Breasttumor",601388,1
11539,"Breasttumor",601576,1
11540,"Breasttumor",606078,1
11541,"Breasttumor",610477,1
11542,"Breasttumor",607993,1
11543,"Breasttumor",608145,1
11544,"Breasttumor",601314,1
11545,"Breasttumor",602255,1
11546,"Breasttumor",608260,1
11547,"Breasttumor",601637,1
11548,"Breasttumor",600819,1
11549,"Breasttumor",603608,1
11550,"Breasttumor",606376,1
11551,"Breasttumor",607301,1
11552,"Breasttumor",601010,1
11553,"Breasttumor",604622,1
11554,"Breasttumor",601582,1
11555,"Breasttumor",600725,1
11556,"Breasttumor",606825,1
11557,"Breasttumor",800278,1
11558,"Breasttumor",604044,1
11559,"Breasttumor",602981,1
11560,"Breasttumor",611511,1
11561,"Breasttumor",608024,1
11562,"Breasttumor",608893,1
11563,"Breasttumor",600302,1
11564,"Breasttumor",611453,1
11565,"Breasttumor",611257,1
11566,"Breasttumor",600019,1
11567,"Breasttumor",610937,1
11568,"Breasttumor",805564,1
11569,"Breasttumor",604854,1
11570,"Breasttumor",604508,1
11571,"Breasttumor",604523,1
11572,"Breasttumor",603286,1
11573,"Breasttumor",606847,1
11574,"Breasttumor",610630,1
11575,"Breasttumor",602680,1
11576,"Breasttumor",601483,1
11577,"Breasttumor",803300,1
11578,"Breasttumor",605734,1
11579,"Breasttumor",600238,1
11580,"Breasttumor",601393,1
11581,"Breasttumor",603509,1
11582,"Breasttumor",601892,1
11583,"Breasttumor",801782,1
11584,"Breasttumor",608837,1
11585,"Breasttumor",800667,1
11586,"Breasttumor",602060,1
11587,"Breasttumor",607568,1
11588,"Breasttumor",609820,1
11589,"Breasttumor",610528,1
11590,"Breasttumor",605450,1
11591,"Breasttumor",610631,1
11592,"Breasttumor",802305,1
11593,"Breasttumor",800035,1
11594,"Breasttumor",802806,1
11595,"Breasttumor",608779,1
11596,"Breasttumor",601680,1
11597,"Breasttumor",610731,1
11598,"Breasttumor",611502,1
11599,"Breasttumor",609759,1
11600,"Breasttumor",601142,1
11601,"Breasttumor",604668,1
11602,"Breasttumor",612082,1
11603,"Breasttumor",612186,1
11604,"Breasttumor",612343,1
11605,"Breasttumor",609343,1
11606,"Breasttumor",611499,1
11607,"Breasttumor",607725,1
11608,"Breasttumor",608518,1
11609,"Breasttumor",608569,1
11610,"Breasttumor",610712,1
11611,"Breasttumor",606644,1
11612,"Breasttumor",804667,1
11613,"Breasttumor",802171,1
11614,"Breasttumor",610343,1
11615,"Breasttumor",603167,1
11616,"Breasttumor",604897,1
11617,"Breasttumor",605519,1
11618,"Breasttumor",607163,1
11619,"Breasttumor",601581,1
11620,"Breasttumor",608526,1
11621,"Breasttumor",602375,1
11622,"Breasttumor",609101,1
11623,"Breasttumor",801671,1
11624,"Breasttumor",603625,1
11625,"Breasttumor",610243,1
11626,"Breasttumor",602161,1
11627,"Breasttumor",611461,1
